controller,speed_kmh,target_force_N,mean_force_N,std_force_N,cv_percent,min_force_N,max_force_N,contact_loss_percent,NoC,ATR_percent,effort_N2s,mechanical_work_J,signed_mechanical_work_J,trial,scenario_seed,measurement_noise_std_N,actuator_delay_s,actuator_time_constant_s,irregularity_scale,mass_scale_1,mass_scale_2,mass_scale_3,stiffness_scale_1,stiffness_scale_2,stiffness_scale_3,damping_scale_3,contact_stiffness_scale
Passive,300.0,157.3,166.83805595498936,99.37414222943879,59.56323433560541,81.31716713848968,478.96246152980416,0.0,0,0.0,0.0,0.0,0.0,4,567986487,2.0,0.005,0.015,1.1070368537728992,1.0354142179401176,0.9369872845583189,1.085813145024001,0.9565878716706834,1.0573302585051136,0.9882996947111851,1.0155119869102782,1.0827080328553205
Continuous,300.0,157.3,164.7839882873322,94.74041312810967,57.49370076109079,88.05072798637686,472.70471862456884,0.0,1,100.0,76.141283131106,1.685387420119084,-0.5298951756398813,4,567986487,2.0,0.005,0.015,1.1070368537728992,1.0354142179401176,0.9369872845583189,1.085813145024001,0.9565878716706834,1.0573302585051136,0.9882996947111851,1.0155119869102782,1.0827080328553205
T-APIC,300.0,157.3,167.05475065767448,98.05902736092732,58.69873617773857,86.7096490224426,477.9540788376894,0.0,8,27.594936708860757,23.20186076516282,0.6349281696353772,-0.18173665730468155,4,567986487,2.0,0.005,0.015,1.1070368537728992,1.0354142179401176,0.9369872845583189,1.085813145024001,0.9565878716706834,1.0573302585051136,0.9882996947111851,1.0155119869102782,1.0827080328553205
E-APIC,300.0,157.3,168.07004772851818,98.00457188005001,58.311741565252476,86.70964902242571,480.6824590264491,0.0,6,18.73417721518987,13.457560076624585,0.45576056212761057,0.03957975733797716,4,567986487,2.0,0.005,0.015,1.1070368537728992,1.0354142179401176,0.9369872845583189,1.085813145024001,0.9565878716706834,1.0573302585051136,0.9882996947111851,1.0155119869102782,1.0827080328553205
ME-APIC,300.0,157.3,166.86443913891375,98.10892347050367,58.79558519285737,85.89473092779227,476.02439928258514,0.0,7,22.78481012658228,16.287027581603216,0.5142027008494858,-0.09561700615152402,4,567986487,2.0,0.005,0.015,1.1070368537728992,1.0354142179401176,0.9369872845583189,1.085813145024001,0.9565878716706834,1.0573302585051136,0.9882996947111851,1.0155119869102782,1.0827080328553205
Passive,350.0,188.825,193.22556075472954,171.96599068800919,88.99753739428597,94.88572628025956,1024.250277245523,0.0,0,0.0,0.0,0.0,0.0,4,567986487,2.0,0.005,0.015,1.1070368537728992,1.0354142179401176,0.9369872845583189,1.085813145024001,0.9565878716706834,1.0573302585051136,0.9882996947111851,1.0155119869102782,1.0827080328553205
Continuous,350.0,188.825,192.27304893108294,170.08598238591532,88.46064663325737,85.0087023611504,1024.7040817773884,0.0,1,99.99999999999999,133.13756464177948,2.8772366153681235,-1.1964505426927974,4,567986487,2.0,0.005,0.015,1.1070368537728992,1.0354142179401176,0.9369872845583189,1.085813145024001,0.9565878716706834,1.0573302585051136,0.9882996947111851,1.0155119869102782,1.0827080328553205
T-APIC,350.0,188.825,194.52609521935358,172.13569229559303,88.48976899551063,96.34593905842507,999.111140766698,0.0,7,26.923076923076923,21.864117220261633,0.8531800145575308,-0.1378104400913196,4,567986487,2.0,0.005,0.015,1.1070368537728992,1.0354142179401176,0.9369872845583189,1.085813145024001,0.9565878716706834,1.0573302585051136,0.9882996947111851,1.0155119869102782,1.0827080328553205
E-APIC,350.0,188.825,194.62669710173722,173.44705540308556,89.11781270809911,93.35157717783466,1004.0918753035407,0.0,7,27.36686390532544,43.077882015050136,1.1144905756404149,-0.3782748797211607,4,567986487,2.0,0.005,0.015,1.1070368537728992,1.0354142179401176,0.9369872845583189,1.085813145024001,0.9565878716706834,1.0573302585051136,0.9882996947111851,1.0155119869102782,1.0827080328553205
ME-APIC,350.0,188.825,192.92953409129504,170.82170023590984,88.54098002179195,97.32299021209414,999.3081838299344,0.0,7,23.076923076923073,25.839642508411323,0.8453207303778095,-0.5048269221404692,4,567986487,2.0,0.005,0.015,1.1070368537728992,1.0354142179401176,0.9369872845583189,1.085813145024001,0.9565878716706834,1.0573302585051136,0.9882996947111851,1.0155119869102782,1.0827080328553205
Passive,300.0,157.3,167.5553081750423,98.06239867626545,58.5253906571681,83.84283477564702,465.97933764983947,0.0,0,0.0,0.0,0.0,0.0,5,729014651,2.0,0.005,0.015,0.8580293285657016,0.9460307715431999,1.0294396240042594,1.0462418026206193,0.921209267695264,0.9183349442252751,1.0161381519234285,0.9505726107194925,1.0213495370690233
Continuous,300.0,157.3,164.4118753101889,92.54009649175514,56.28553066325877,89.03984056090984,456.80186469725567,0.0,1,100.0,85.8115866931685,1.8147750465765466,-0.6775949625264807,5,729014651,2.0,0.005,0.015,0.8580293285657016,0.9460307715431999,1.0294396240042594,1.0462418026206193,0.921209267695264,0.9183349442252751,1.0161381519234285,0.9505726107194925,1.0213495370690233
